Case Number,City,Zip,Date Filed,Date Closed,Case Type,Type of Complaint,Case Disposition,Location
40894,BETHESDA,20814,08/14/2020,09/30/2020,OLTA-TSF,Money Damages - Spoiled Food,Complaint withdrawn,"BETHESDA 20814
(39.003061, -77.102949)"
45363,GAITHERSBURG,20878,08/26/2022,08/26/2022,OLTA-TMF,Eviction,Non-jurisdiction-Geographic Location,"GAITHERSBURG 20878
(39.114215, -77.239673)"
39708,SILVER SPRING,20906,01/09/2019,01/22/2019,OLTA-TMF,Noise,No jurisdiction,"SILVER SPRING 20906
(39.083452, -77.060664)"
39586,SILVER SPRING,20904,10/25/2018,08/20/2019,OLTA-TMF,Fee,Refund/Rent Credit,"SILVER SPRING 20904
(39.066507, -76.979098)"
31721,Potomac,20854,06/07/2010,09/07/2010,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Potomac 20854
(39.038266, -77.203413)"
30667,Silver Spring,20902,02/09/2009,05/06/2009,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20902
(39.042613, -77.046758)"
38280,SILVER SPRING,20910,06/13/2018,06/22/2018,OLTA-TSF,Eviction,No jurisdiction,"SILVER SPRING 20910
(39.001851, -77.034885)"
34711,Silver Spring,20906,09/12/2014,09/30/2014,OLTA-TMF,Quit and Vacate,Service performed or corrected,"Silver Spring 20906
(39.083452, -77.060664)"
39751,GERMANTOWN,20874,01/29/2019,02/26/2019,OLTA-TSF,Security Deposit,Acceptable explanation,"GERMANTOWN 20874
(39.158483, -77.280856)"
39676,GAITHERSBURG,20879,01/02/2019,01/16/2019,OLTA-LSF,Security Deposit,Acceptable explanation,"GAITHERSBURG 20879
(39.169098, -77.182742)"
33530,Olney,20832,10/23/2012,12/17/2012,OLTA-TSF,Security Deposit,Legal Action Filed,"Olney 20832
(39.152328, -77.073205)"
36648,Silver Spring,20904,07/28/2017,12/05/2017,OLTA-TMF,Security Deposit,Referred to Landlord-Tenant Commission,"Silver Spring 20904
(39.066507, -76.979098)"
35758,Rockville,20852,03/21/2016,03/28/2016,OLTA-LSF,Quit and Vacate,Referred to a MD State Government agency,"Rockville 20852
(39.050009, -77.125351)"
30384,Bethesda,20814,09/12/2008,10/23/2008,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Bethesda 20814
(39.003061, -77.102949)"
31427,Germantown,20876,02/12/2010,02/12/2010,OLTA-TMF,Parking,Non-jurisdiction-Rental Application-Referred to OCA,"Germantown 20876
(39.198155, -77.240725)"
35926,North Potomac,20878,06/24/2016,07/08/2016,OLTA-LSF,Failure to Pay Rent,Referred to a MD State Government agency,"North Potomac 20878
(39.114215, -77.239673)"
30340,Montgomery Village,20886,08/19/2008,10/14/2008,OLTA-TMF,Reduction in Services,Complaint withdrawn,"Montgomery Village 20886
(39.179257, -77.193738)"
42990,CLARKSBURG,20871,03/07/2022,04/13/2022,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"CLARKSBURG 20871
(39.250697, -77.27543)"
34235,Silver Spring,20904,12/13/2013,01/28/2014,OLTA-TSF,Maintenance - Mold/Mildew,Other referral (private attorney/legal aid/etc.),"Silver Spring 20904
(39.066507, -76.979098)"
45284,SILVER SPRING,20901,07/21/2022,07/26/2022,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"SILVER SPRING 20901
(39.00324, -77.00526)"
45324,BETHESDA,20816,08/02/2022,12/14/2022,OLTA-TMF,Security Deposit,Complaint withdrawn,"BETHESDA 20816
(38.95604, -77.11783)"
40210,SILVER SPRING,20910,08/22/2019,08/26/2019,OLTA-TMF,Rental Credit Report,Referred to a Montgomery County Agency,"SILVER SPRING 20910
(39.001851, -77.034885)"
41493,SILVER SPRING,20901,08/10/2021,09/09/2021,OLTA-TMF,Harassment,No jurisdiction,"SILVER SPRING 20901
(39.020211, -77.009764)"
40462,ROCKVILLE,20855,12/17/2019,12/20/2019,OLTA-TMF,Noise,Referred to a Montgomery County Agency,"ROCKVILLE 20855
(39.134606, -77.141459)"
36201,Silver Spring,20902,11/03/2016,01/04/2017,OLTA-TSF,Rent Increase,Referred to a MD State Government agency,"Silver Spring 20902
(39.042613, -77.046758)"
45330,GERMANTOWN,20874,08/04/2022,10/07/2022,OLTA-TMF,Fee,Refund (payments/deposits),"GERMANTOWN 20874
(39.18272, -77.27048)"
33042,Silver Spring,20901,01/12/2012,01/25/2012,OLTA-TMF,Rent Payment History,Lease provision honored,"Silver Spring 20901
(39.020211, -77.009764)"
34806,Clarksburg,20871,10/21/2014,12/05/2014,OLTA-TSF,Security Deposit,Settlement Agreement,"Clarksburg 20871
(39.250697, -77.27543)"
38349,SILVER SPRING,20901,07/18/2018,07/18/2018,OLTA-TMF,Fee,Duplicate Case,"SILVER SPRING 20901
(39.020211, -77.009764)"
35582,Silver Spring,20904,11/20/2015,12/31/2015,OLTA-TMF,Lease Agreement,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
41009,MONTGOMERY VILLAGE,20886,10/23/2020,10/30/2020,OLTA-TMF,Rent Increase,Refund/Rent Credit,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
33187,Takoma Park,20912,04/19/2012,04/19/2012,OLTA-TMF,No Jurisdiction-Geographical,No jurisdiction,"Takoma Park 20912
(38.982019, -77.000534)"
34730,Silver Spring,20906,09/18/2014,10/01/2014,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
33593,Silver Spring,20901,12/06/2012,12/12/2012,OLTA-TMF,Maintenance- General,Settlement Agreement,"Silver Spring 20901
(39.020211, -77.009764)"
39590,MONTGOMERY VILLAGE,20886,10/25/2018,12/11/2018,OLTA-TSF,Security Deposit,Refund (payments/deposits),"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
41156,BETHESDA,20817,01/19/2021,11/05/2021,OLTA-TSF,Security Deposit,Other- no communication from tenant,"BETHESDA 20817
(38.998099, -77.143306)"
35348,Germantown,20874,08/11/2015,09/03/2015,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Germantown 20874
(39.158483, -77.280856)"
34014,Gaithersburg,20886,08/16/2013,11/01/2013,OLTA-TMF,Rent Payment History,Service performed or corrected,"Gaithersburg 20886
(39.179257, -77.193738)"
34250,Silver Spring,20906,12/20/2013,02/24/2014,OLTA-TSF,Eviction,Referred to Landlord-Tenant Commission,"Silver Spring 20906
(39.083452, -77.060664)"
33134,Germantown,20874,03/12/2012,05/18/2012,OLTA-TMF,Maintenance - Infestation,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
39495,SILVER SPRING,20904,09/21/2018,12/12/2018,OLTA-LMF,Security Deposit,Settlement Agreement,"SILVER SPRING 20904
(39.066507, -76.979098)"
35025,Gaithersburg,20878,02/11/2015,02/12/2015,OLTA-TMF,Rent Increase,Non-jurisdiction-Geographic Location,"Gaithersburg 20878
(39.114215, -77.239673)"
45205,SILVER SPRING,20910,06/13/2022,06/27/2022,OLTA-TMF,Fee,Lease provision honored,"SILVER SPRING 20910
(39.001851, -77.034885)"
32188,North Bethesda,20852,11/26/2010,11/30/2010,OLTA-TMF,Security Deposit,Complaint withdrawn,"North Bethesda 20852
(39.050009, -77.125351)"
46600,SILVER SPRING,20906,10/11/2022,10/12/2022,OLTA-TMF,Maintenance - Water Damages,Refer to Code Enforcement,"SILVER SPRING 20906
(39.09303, -77.07354)"
36327,North Bethesda,20852,01/09/2017,02/14/2017,OLTA-TMF,Quit and Vacate,Acceptable explanation,"North Bethesda 20852
(39.050009, -77.125351)"
40851,GAITHERSBURG,20878,07/29/2020,07/29/2020,OLTA-TMF,Lease Agreement Tenant Rights,Non-jurisdiction-Geographic Location,"GAITHERSBURG 20878
(39.114215, -77.239673)"
39671,SILVER SPRING,20910,12/17/2018,12/19/2018,OLTA-TMF,Failure to Pay Rent,Referred to a MD State Government agency,"SILVER SPRING 20910
(39.001851, -77.034885)"
32070,Silver Spring,20906,10/13/2010,11/02/2010,OLTA-TSF,Lease Agreement,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
36832,Germantown,20874,10/19/2017,11/06/2017,OLTA-TMF,Lease Agreement,Complaint withdrawn,"Germantown 20874
(39.158483, -77.280856)"
34145,North Bethesda,20852,10/21/2013,12/20/2013,OLTA-TSF,Security Deposit,Refund (payments/deposits),"North Bethesda 20852
(39.050009, -77.125351)"
34923,Silver Spring,20906,12/24/2014,01/29/2015,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20906
(39.083452, -77.060664)"
47918,BETHESDA,20816,03/03/2023,05/16/2023,OLTA-TMF,Security Deposit,Service performed or corrected,"BETHESDA 20816
(38.95687410000005, -77.10252799999995)"
36436,Silver Spring,20906,03/20/2017,04/04/2017,OLTA-TMF,Rent Payment History,Lease completion,"Silver Spring 20906
(39.083452, -77.060664)"
32646,Mont. Village,20886,07/19/2011,08/22/2011,OLTA-TSF,Security Deposit,Settlement Agreement,"Mont. Village 20886
(39.179257, -77.193738)"
34175,Germantown,20874,11/04/2013,12/19/2013,OLTA-TSF,Security Deposit,Settlement Agreement,"Germantown 20874
(39.158483, -77.280856)"
35602,North Bethesda,20852,11/30/2015,11/13/2015,OLTA-TMF,Rent Payment History,Service performed or corrected,"North Bethesda 20852
(39.050009, -77.125351)"
32431,Wheaton,20902,03/29/2011,05/03/2011,OLTA-TMF,Management,Acceptable explanation,"Wheaton 20902
(39.042613, -77.046758)"
45387,GERMANTOWN,20874,09/07/2022,03/15/2023,OLTA-TMF,Security Deposit,Settlement Agreement,"GERMANTOWN 20874
(39.18272, -77.27048)"
34906,Germantown,20874,12/11/2014,05/20/2015,OLTA-TMF,Security Deposit,Settlement Agreement,"Germantown 20874
(39.158483, -77.280856)"
31560,Silver Spring,20904,03/31/2010,05/11/2010,OLTA-TMF,Harassment,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
33784,Silver Spring,20904,04/04/2013,04/12/2013,OLTA-TMF,Maintenance- General,Referred to a Montgomery County Agency,"Silver Spring 20904
(39.066507, -76.979098)"
41566,BURTONSVILLE,20866,09/07/2021,03/23/2022,OLTA-TMF,Security Deposit,Acceptable explanation,"BURTONSVILLE 20866
(39.103016, -76.935049)"
36593,Chevy Chase,20815,06/23/2017,08/03/2017,OLTA-TMF,Maintenance - Plumbing,Complaint withdrawn,"Chevy Chase 20815
(38.982537, -77.079131)"
36849,Burtonsville,20866,10/27/2017,01/03/2018,OLTA-TSF,Security Deposit,Complaint withdrawn,"Burtonsville 20866
(39.103016, -76.935049)"
40849,SILVER SPRING,20910,07/29/2020,01/26/2021,OLTA-TMF,Lease Agreement Tenant Rights,Refund (payments/deposits),"SILVER SPRING 20910
(39.001851, -77.034885)"
36182,Rockville,20852,10/18/2016,11/02/2016,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Rockville 20852
(39.050009, -77.125351)"
34006,Kensington,20895,08/16/2013,10/09/2013,OLTA-TSF,Lease Agreement,Refund (payments/deposits),"Kensington 20895
(39.027698, -77.077422)"
41487,ROCKVILLE,20851,08/09/2021,09/30/2021,OLTA-TMF,Fee,Service performed or corrected,"ROCKVILLE 20851
(39.07701, -77.123831)"
33125,Silver Spring,20904,03/05/2012,04/05/2012,OLTA-TMF,Fee,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
31565,Mont. Village,20886,04/02/2010,05/20/2010,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Mont. Village 20886
(39.179257, -77.193738)"
34627,Silver Spring,20906,08/05/2014,10/17/2014,OLTA-LMF,Maintenance- General,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
32168,Bethesda,20814,11/17/2010,01/27/2011,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Bethesda 20814
(39.003061, -77.102949)"
44025,SILVER SPRING,20910,03/22/2022,04/07/2022,OLTA-TMF,Money Damages - Fire,Referred to a Montgomery County Agency,"SILVER SPRING 20910
(39.001851, -77.034885)"
34564,Silver Spring,20910,06/25/2014,08/17/2014,OLTA-TMF,Lease Agreement,Other- no communication from tenant,"Silver Spring 20910
(39.001851, -77.034885)"
30762,Silver Spring,20910,03/31/2009,04/29/2009,OLTA-TMF,Late Fee,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
41468,SILVER SPRING,20906,07/28/2021,11/16/2021,OLTA-TMF,Lease Agreement Tenant Rights,Lease provision honored,"SILVER SPRING 20906
(39.083452, -77.060664)"
39554,TAKOMA PARK,20912,10/09/2018,10/16/2018,OLTA-TSF,Lease Agreement,Complaint noted for the record,"TAKOMA PARK 20912
(38.982019, -77.000534)"
30495,Silver Spring,20910,11/05/2008,11/05/2008,OLTA-TMF,Rent,Complaint withdrawn,"Silver Spring 20910
(39.001851, -77.034885)"
30700,Silver Spring,20902,02/23/2009,06/03/2009,OLTA-TSF,Security Deposit,Dismissed by Landlord-Tenant Commission,"Silver Spring 20902
(39.042613, -77.046758)"
35951,Mont. Village,20886,06/30/2016,08/15/2016,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Mont. Village 20886
(39.179257, -77.193738)"
40727,ROCKVILLE,20852,04/24/2020,11/02/2020,OLTA-TMF,Fee,Complaint withdrawn,"ROCKVILLE 20852
(39.050009, -77.125351)"
46525,GAITHERSBURG,20878,10/25/2022,10/26/2022,OLTA-TSF,Security Deposit,Non-jurisdiction-Geographic Location,"GAITHERSBURG 20878
(39.114215, -77.239673)"
35792,Bethesda,20814,04/08/2016,04/12/2016,OLTA-TMF,Ratio Utility Billing,Refund (payments/deposits),"Bethesda 20814
(39.003061, -77.102949)"
33379,Silver Spring,20706,08/10/2012,08/14/2012,OLTA-TSF,Lease Agreement,Referred to a MD State Government agency,"Silver Spring 20706
(38.96404, -76.851821)"
40510,BETHESDA,20814,01/06/2020,01/08/2020,OLTA-TMF,Security Deposit,Complaint withdrawn,"BETHESDA 20814
(39.003061, -77.102949)"
40978,SILVER SPRING,20904,10/02/2020,10/27/2020,OLTA-TMF,Fee,Service performed or corrected,"SILVER SPRING 20904
(39.066507, -76.979098)"
36602,Brookeville,20833,02/28/2017,06/28/2017,OLTA-TSF,Security Deposit,Settlement Agreement,"Brookeville 20833
(39.194543, -77.056053)"
42858,ROCKVILLE,20852,01/06/2022,01/11/2022,OLTA-TSF,Security Deposit,Complaint withdrawn,"ROCKVILLE 20852
(39.050009, -77.125351)"
40516,SILVER SPRING,20906,01/08/2020,01/28/2020,OLTA-LSF,Failure to Pay Rent,Service performed or corrected,"SILVER SPRING 20906
(39.083452, -77.060664)"
30290,Germantown,20874,07/25/2008,07/29/2008,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Germantown 20874
(39.158483, -77.280856)"
32740,Hyattsville,20873,08/23/2011,09/02/2011,OLTA-TMF,No Jurisdiction-Geographical,Referred to a MD State Government agency,"Hyattsville 20873
(38.954926, -76.945542)"
30962,Silver Spring,20906,07/16/2009,07/16/2009,OLTA-TMF,Rent Increase,Complaint withdrawn,"Silver Spring 20906
(39.083452, -77.060664)"
32161,Silver Spring,20902,11/17/2010,11/19/2010,OLTA-TSF,N/A,Referred to a Montgomery County Agency,"Silver Spring 20902
(39.042613, -77.046758)"
33021,Silver Spring,20903,01/04/2012,02/07/2012,OLTA-TMF,Security Deposit,Refund/Rent Credit,"Silver Spring 20903
(39.016139, -76.982897)"
34608,Silver Spring,20901,07/23/2014,08/11/2014,OLTA-TMF,Rent Increase,Acceptable explanation,"Silver Spring 20901
(39.020211, -77.009764)"
41576,SILVER SPRING,20904,09/10/2021,04/18/2022,OLTA-TSF,Maintenance- General,Referred to HOC,"SILVER SPRING 20904
(39.066507, -76.979098)"
36634,Silver Spring,20904,07/20/2017,07/25/2017,OLTA-TMF,Maintenance - Infestation,Referred to a Montgomery County Agency,"Silver Spring 20904
(39.066507, -76.979098)"
30776,Silver Spring,20906,04/14/2009,04/14/2009,OLTA-TMF,No Jurisdiction - Room Rental,No jurisdiction,"Silver Spring 20906
(39.083452, -77.060664)"
39934,SILVER SPRING,20904,05/01/2019,08/28/2019,OLTA-TMF,Rent Payment History,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
35662,Rockville,20850,12/31/2015,01/06/2016,OLTA-TMF,N/A,Non-jurisdiction-Geographic Location,"Rockville 20850
(39.092462, -77.178614)"
35590,Silver Spring,20904,11/20/2015,06/06/2016,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Silver Spring 20904
(39.066507, -76.979098)"
33781,Silver Spring,20904,04/04/2013,04/27/2013,OLTA-TMF,Harassment,Complaint withdrawn,"Silver Spring 20904
(39.066507, -76.979098)"
39662,SILVER SPRING,20904,12/13/2018,12/14/2018,OLTA-TSF,Failure to Pay Rent,Referred to a MD State Government agency,"SILVER SPRING 20904
(39.066507, -76.979098)"
35439,Gaithersburg,20882,09/18/2015,06/01/2016,OLTA-TSF,Security Deposit,Complaint withdrawn,"Gaithersburg 20882
(39.227609, -77.159627)"
40670,GAITHERSBURG,20878,03/05/2020,05/05/2020,OLTA-TSF,Security Deposit,Other- no communication from tenant,"GAITHERSBURG 20878
(39.114215, -77.239673)"
35826,Germantown,20876,04/27/2016,10/28/2016,OLTA-TMF,Lease Agreement,Refund (payments/deposits),"Germantown 20876
(39.198155, -77.240725)"
30407,Rockville,20855,09/23/2008,11/21/2008,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Rockville 20855
(39.134606, -77.141459)"
40952,SILVER SPRING,20904,09/18/2020,01/26/2021,OLTA-TMF,Rent Increase,Refund/Rent Credit,"SILVER SPRING 20904
(39.066507, -76.979098)"
35187,Bethesda,20817,05/21/2015,09/16/2015,OLTA-TSF,Security Deposit,Settlement Agreement,"Bethesda 20817
(38.998099, -77.143306)"
40549,SILVER SPRING,20906,01/17/2020,03/11/2020,OLTA-TSF,Security Deposit,Acceptable explanation,"SILVER SPRING 20906
(39.083452, -77.060664)"
30296,Silver Spring,20904,07/29/2008,09/16/2008,OLTA-TMF,,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
44080,SILVER SPRING,20902,04/15/2022,05/19/2022,OLTA-LSF,Ratio Utility Billing,Acceptable explanation,"SILVER SPRING 20902
(39.042613, -77.046758)"
33465,Germantown,20874,09/24/2012,09/25/2012,OLTA-TMF,Lease Agreement,Duplicate Case,"Germantown 20874
(39.158483, -77.280856)"
35249,Germantown,20874,06/19/2015,09/30/2015,OLTA-TMF,Lease Agreement,Complaint withdrawn,"Germantown 20874
(39.158483, -77.280856)"
39563,GAITHERSBURG,20877,10/15/2018,12/14/2018,OLTA-TSF,Maintenance - Infestation,Service performed or corrected,"GAITHERSBURG 20877
(39.140752, -77.187359)"
35519,Potomac,20854,10/23/2015,01/06/2016,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Potomac 20854
(39.038266, -77.203413)"
47937,GAITHERSBURG,20877,03/06/2023,03/06/2023,OLTA-TMF,Lease Agreement Tenant Rights,No jurisdiction,"GAITHERSBURG 20877
(39.14033, -77.19373)"
31936,Rockville,20850,09/03/2010,09/10/2010,OLTA-TSF,No Jurisdiction - Tenant Vs. Tenant,Other referral (private attorney/legal aid/etc.),"Rockville 20850
(39.092462, -77.178614)"
31426,Germantown,20876,02/12/2010,02/12/2010,OLTA-TMF,Parking,Non-jurisdiction-Rental Application-Referred to OCA,"Germantown 20876
(39.198155, -77.240725)"
36898,Gaithersburg,20878,11/10/2017,11/22/2017,OLTA-TSF,Maintenance - Electrical,Non-jurisdiction-Geographic Location,"Gaithersburg 20878
(39.114215, -77.239673)"
36730,Silver Spring,20906,09/08/2017,02/06/2018,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Silver Spring 20906
(39.083452, -77.060664)"
32195,Germantown,20874,12/03/2010,01/20/2011,OLTA-TSF,Lease Agreement,Settlement Agreement,"Germantown 20874
(39.158483, -77.280856)"
34892,Silver Spring,20910,12/01/2014,01/05/2015,OLTA-TMF,Security Deposit,Settlement Agreement,"Silver Spring 20910
(39.001851, -77.034885)"
40184,GAITHERSBURG,208791415,08/12/2019,09/11/2019,OLTA-TMF,Harassment,Service performed or corrected,"GAITHERSBURG 208791415
(39.177923, -77.192226)"
35572,Silver Spring,20910,11/16/2015,03/06/2016,OLTA-TMF,Fee,Complaint withdrawn,"Silver Spring 20910
(39.001851, -77.034885)"
33693,Wheaton,20902,02/06/2013,02/11/2013,OLTA-TSF,Application Deposit,Referred to a Montgomery County Agency,"Wheaton 20902
(39.042613, -77.046758)"
33544,Wheaton,20902,11/05/2012,01/14/2013,OLTA-TMF,Fee,Service performed or corrected,"Wheaton 20902
(39.042613, -77.046758)"
45209,SILVER SPRING,20902,06/15/2022,08/16/2022,OLTA-TMF,Quit and Vacate,Acceptable explanation,"SILVER SPRING 20902
(39.042613, -77.046758)"
32140,Potomac,20854,11/09/2010,12/16/2010,OLTA-TSF,Security Deposit,Settlement Agreement,"Potomac 20854
(39.038266, -77.203413)"
34243,Wheaton,20902,12/20/2013,01/08/2014,OLTA-TMF,Lease Agreement,Acceptable explanation,"Wheaton 20902
(39.042613, -77.046758)"
36458,Gaithersburg,20878,03/29/2017,03/30/2017,OLTA-TMF,Maintenance - Infestation,Non-jurisdiction-Geographic Location,"Gaithersburg 20878
(39.114215, -77.239673)"
35332,Chevy Chase,20815,08/03/2015,10/20/2015,OLTA-TMF,Security Deposit,Settlement Agreement,"Chevy Chase 20815
(38.982537, -77.079131)"
33268,Germantown,20874,06/06/2012,10/05/2012,OLTA-TMF,Lease Agreement,Complaint withdrawn,"Germantown 20874
(39.158483, -77.280856)"
40823,GAITHERSBURG,20878,07/01/2020,11/10/2020,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"GAITHERSBURG 20878
(39.114215, -77.239673)"
36160,Gaithersburg,20878,10/07/2016,10/07/2016,OLTA-TMF,Security Deposit,Non-jurisdiction-Geographic Location,"Gaithersburg 20878
(39.114215, -77.239673)"
35053,Silver Spring,20902,02/27/2015,03/24/2015,OLTA-TMF,Lease Agreement,Service performed or corrected,"Silver Spring 20902
(39.042613, -77.046758)"
36563,Bethesda,20817,06/14/2017,07/16/2019,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Bethesda 20817
(38.998099, -77.143306)"
35654,Silver Spring,20904,12/30/2015,02/19/2016,OLTA-TMF,Security Deposit,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
34425,Silver Spring,20906,04/18/2014,05/28/2014,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20906
(39.083452, -77.060664)"
36162,Silver Spring,20904,10/07/2016,03/03/2017,OLTA-TMF,Security Deposit,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
34482,Silver Spring,20910,05/22/2014,07/21/2014,OLTA-TMF,Rent Increase,Service performed or corrected,"Silver Spring 20910
(39.001851, -77.034885)"
35059,Rockville,20855,03/04/2015,03/11/2015,OLTA-TSF,Lease Agreement Tenant Rights,Acceptable explanation,"Rockville 20855
(39.134606, -77.141459)"
30258,Gaithersburg,20886,07/09/2008,08/08/2008,OLTA-LSF,Security Deposit,Refund (payments/deposits),"Gaithersburg 20886
(39.179257, -77.193738)"
38199,SILVER SPRING,20910,05/01/2018,07/02/2018,OLTA-TMF,Lease Agreement Tenant Rights,Referred to a Montgomery County Agency,"SILVER SPRING 20910
(39.001851, -77.034885)"
36250,Silver Spring,20903,11/29/2016,01/11/2017,OLTA-TMF,Maintenance- General,Acceptable explanation,"Silver Spring 20903
(39.016139, -76.982897)"
41783,BURTONSVILLE,20866,11/29/2021,12/01/2021,OLTA-TSF,Eviction,Acceptable explanation,"BURTONSVILLE 20866
(39.103016, -76.935049)"
30377,Gaithersburg,20886,09/12/2008,10/23/2008,OLTA-TSF,Security Deposit,Complaint withdrawn,"Gaithersburg 20886
(39.179257, -77.193738)"
36093,Boyds,20841,09/15/2016,11/18/2016,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Boyds 20841
(39.187771, -77.313684)"
38445,BETHESDA,20816,08/28/2018,02/07/2019,OLTA-MCMF,Security Deposit,Refund (payments/deposits),"BETHESDA 20816
(38.958638, -77.115455)"
33058,Derwood,20855,01/24/2012,03/13/2012,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Derwood 20855
(39.134606, -77.141459)"
36125,Takoma Park,20912,09/27/2016,09/27/2016,OLTA-TSF,Eviction,Non-jurisdiction-Geographic Location,"Takoma Park 20912
(38.982019, -77.000534)"
31182,Boyds,20841,10/08/2009,02/26/2010,OLTA-LSF,Failure to Pay Rent,Service performed or corrected,"Boyds 20841
(39.187771, -77.313684)"
35382,Bethesda,20814,08/31/2015,02/16/2016,OLTA-TMF,Lease Agreement,Acceptable explanation,"Bethesda 20814
(39.003061, -77.102949)"
40941,SILVER SPRING,20901,08/05/2020,11/05/2020,OLTA-TMF,Maintenance- General,Service performed or corrected,"SILVER SPRING 20901
(39.020211, -77.009764)"
33765,Silver Spring,20910,03/26/2013,04/05/2013,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20910
(39.001851, -77.034885)"
41530,SILVER SPRING,20904,08/24/2021,08/31/2021,OLTA-TMF,Security Deposit,Refund (payments/deposits),"SILVER SPRING 20904
(39.066507, -76.979098)"
31149,Silver Spring,20910,04/10/2010,06/30/2010,OLTA-TMF,Maintenance - Mold/Mildew,Settlement Agreement,"Silver Spring 20910
(39.001851, -77.034885)"
47759,POTOMAC,20854,02/08/2023,02/21/2023,OLTA-TMF,Rent Increase,Complaint withdrawn,"POTOMAC 20854
(39.01796, -77.20884)"
34679,Clarksburg,20871,08/22/2014,11/05/2014,OLTA-TSF,Security Deposit,Settlement Agreement,"Clarksburg 20871
(39.250697, -77.27543)"
39548,GAITHERSBURG,20878,10/09/2018,10/31/2018,OLTA-TMF,Quit and Vacate,No jurisdiction,"GAITHERSBURG 20878
(39.114215, -77.239673)"
40106,SILVER SPRING,20901,07/18/2019,03/25/2020,OLTA-TMF,Security Deposit,Acceptable explanation,"SILVER SPRING 20901
(39.020211, -77.009764)"
32697,Rockville,20855,08/10/2011,09/26/2011,OLTA-TSF,Lease Agreement,Referred to a MD State Government agency,"Rockville 20855
(39.134606, -77.141459)"
31031,Silver Spring,20904,08/11/2009,09/15/2009,OLTA-TSF,Lease Agreement Tenant Rights,Acceptable explanation,"Silver Spring 20904
(39.066507, -76.979098)"
32600,Silver Spring,20904,06/28/2011,07/13/2011,OLTA-TMF,Maintenance - Air Conditioning,Refund/Rent Credit,"Silver Spring 20904
(39.066507, -76.979098)"
31554,Rockville,20852,03/29/2010,03/30/2010,OLTA-TMF,Rent Payment History,Referred to a Montgomery County Agency,"Rockville 20852
(39.050009, -77.125351)"
36856,Derwood,20855,10/27/2017,01/13/2018,OLTA-TSF,Eviction,Referred to a MD State Government agency,"Derwood 20855
(39.134606, -77.141459)"
42836,MONTGOMERY VILLAGE,20886,12/23/2021,01/20/2022,OLTA-LMF,Lease Agreement,Service performed or corrected,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
31996,Germantown,20874,09/22/2010,11/23/2010,OLTA-TSF,Security Deposit,Complaint withdrawn,"Germantown 20874
(39.158483, -77.280856)"
33617,Silver Spring,20904,12/28/2012,03/29/2013,OLTA-TSF,Maintenance - Plumbing,Lease completion,"Silver Spring 20904
(39.066507, -76.979098)"
35255,Silver Spring,20910,06/19/2015,07/20/2015,OLTA-TMF,Harassment,Complaint noted for the record,"Silver Spring 20910
(39.001851, -77.034885)"
36631,Germantown,20876,07/20/2017,08/30/2017,OLTA-LSF,Lease Agreement,Acceptable explanation,"Germantown 20876
(39.198155, -77.240725)"
